Country,Points
JPN,3784
SLO,3223
GER,3208
NOR,3001
AUT,1897
CAN,1005
CHN,620
FIN,489
USA,409
ITA,360
POL,272
SWE,217
FRA,199
CZE,194
SUI,107
ROU,41
SVK,21
UKR,3
KAZ,0
