Country,Points
AUT,4040
SLO,3213
JPN,2878
GER,2189
NOR,1650
POL,999
FIN,400
SUI,373
FRA,365
BUL,344
USA,254
ITA,118
EST,80
UKR,71
KAZ,59
CZE,38
CAN,26
SVK,11
TUR,10
CHN,0
ROU,0
